Had she not intervened at the last moment, the project would have been abandoned.|Si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné.|si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné|n'eût-elle pas intervenu au dernier moment, le projet aurait été abandonné
I would have greatly appreciated it had you informed me in advance.|J'aurais grandement apprécié que vous m'en informiez à l'avance.|j'aurais grandement apprécié que vous m'en informiez à l'avance|il eût été préférable que vous me préveniez à l'avance
Not only did she fail to meet the deadline, but she also neglected to inform the team.|Non seulement elle n'a pas respecté les délais, mais elle a aussi négligé d'informer l'équipe.|non seulement elle n'a pas respecté les délais, mais elle a aussi négligé d'informer l'équipe
Having thoroughly reviewed the dossier, I am of the opinion that the proposal lacks substance.|Après avoir soigneusement examiné le dossier, je suis d'avis que la proposition manque de substance.|après avoir soigneusement examiné le dossier, je suis d'avis que la proposition manque de fond
So great was her determination that she overcame every obstacle that had been placed before her.|Sa détermination était telle qu'elle a surmonté chaque obstacle qui s'était dressé devant elle.|sa détermination était telle qu'elle a surmonté tous les obstacles qui se sont dressés devant elle
I would have you know that I take this matter extremely seriously.|Je tiens à vous faire savoir que je prends cette affaire très au sérieux.|je tiens à vous faire savoir que je prends cette affaire très au sérieux|sachez que je prends cette question extrêmement au sérieux
Were the budget to be approved, we could begin recruitment immediately.|Si le budget venait à être approuvé, nous pourrions lancer les recrutements immédiatement.|si le budget venait à être approuvé, nous pourrions lancer les recrutements immédiatement|dans l'hypothèse où le budget serait approuvé, nous pourrions recruter sans tarder
She would not have accepted the position had she foreseen the constraints involved.|Elle n'aurait pas accepté le poste si elle avait prévu les contraintes que cela impliquait.|elle n'aurait pas accepté le poste si elle avait prévu les contraintes que cela impliquait
No sooner had I spoken than she turned around and walked out of the room.|À peine avais-je parlé qu'elle s'est retournée et a quitté la pièce.|à peine avais-je parlé qu'elle s'est retournée et a quitté la pièce|à peine eus-je parlé qu'elle se retourna et sortit de la pièce
Having considered all available options, I believe the most prudent course of action is to wait.|Après avoir examiné toutes les options disponibles, je pense que la conduite la plus prudente est d'attendre.|après avoir examiné toutes les options disponibles, je pense que la conduite la plus prudente est d'attendre
It was not until she had left the meeting that she realized the gravity of the situation.|Ce n'est qu'après avoir quitté la réunion qu'elle a pris conscience de la gravité de la situation.|ce n'est qu'après avoir quitté la réunion qu'elle a réalisé la gravité de la situation
I must confess that I am deeply concerned by the turn this affair has taken.|Je dois avouer que je suis profondément préoccupé par la tournure qu'a prise cette affaire.|je dois avouer que je suis profondément préoccupé par la tournure qu'a prise cette affaire
Had he been properly briefed, he would never have made such an egregious error.|S'il avait été correctement informé, il n'aurait jamais commis une telle erreur grossière.|s'il avait été correctement briefé, il n'aurait jamais commis une erreur aussi grossière
The extent to which this decision will affect the organization remains to be seen.|La mesure dans laquelle cette décision affectera l'organisation reste à déterminer.|la mesure dans laquelle cette décision affectera l'organisation reste à voir|l'impact de cette décision sur l'organisation n'est pas encore déterminé
So rarely does such an opportunity present itself that one would be foolish not to seize it.|Une telle opportunité se présente si rarement qu'il serait déraisonnable de ne pas la saisir.|une telle occasion se présente si rarement qu'il serait déraisonnable de ne pas la saisir
