Although it was raining, we decided to go for a walk.|Bien qu'il pleuve, nous avons décidé d'aller nous promener.|bien qu'il pleuve nous avons decide d'aller nous promener|malgre la pluie on a decide de se promener|la pluie n'a pas empeche notre promenade|on est sortis se promener malgre la pluie|la pluie n'a pas stoppe notre envie de promenade
She had been living in Paris for three years when she got the job.|Elle vivait à Paris depuis trois ans quand elle a décroché le poste.|elle vivait a paris depuis trois ans quand elle a decroche le poste|sa troisieme annee a paris coincidait avec l'obtention du poste|cela faisait trois ans qu'elle vivait a paris quand l'emploi est venu|elle habitait paris depuis trois ans au moment d'obtenir le poste|trois ans de vie parisienne avant d'obtenir ce poste
The project was more complex than we had initially expected.|Le projet était plus complexe que ce que nous avions initialement prévu.|le projet etait plus complexe que ce que nous avions initialement prevu|le projet s'est avere plus complique que prevu au depart|on n'avait pas anticipe un tel niveau de complexite|la complexite du projet a depasse nos attentes initiales|le projet s'est revele plus difficile qu'on ne l'avait cru
If I had known about the meeting, I would have come earlier.|Si j'avais su que la réunion avait lieu, je serais arrivé plus tôt.|si j'avais su que la reunion avait lieu je serais arrive plus tot|j'aurais ete la plus tot si j'avais eu vent de la reunion|ma ponctualite aurait ete meilleure si j'avais ete informe de la reunion|prevenu de la reunion j'aurais anticipe mon arrivee|a la connaissance de la reunion j'aurais du arriver plus tot
Despite the noise outside, she managed to concentrate on her work.|Malgré le bruit dehors, elle a réussi à se concentrer sur son travail.|malgre le bruit dehors elle a reussi a se concentrer sur son travail|le bruit exterieur ne l'a pas empeche de se concentrer|elle a trouve la concentration malgre le brouhaha dehors|la nuisance sonore n'a pas eu raison de sa concentration|en depit du bruit elle est restee concentree sur sa tache
He has been working on this report for the past two weeks.|Il travaille sur ce rapport depuis deux semaines.|il travaille sur ce rapport depuis deux semaines|ce rapport occupe son temps depuis deux semaines|voila deux semaines qu'il planche sur ce rapport|depuis une quinzaine il est sur ce rapport|il est sur ce rapport depuis maintenant deux semaines
The government has announced new measures to reduce pollution.|Le gouvernement a annoncé de nouvelles mesures pour réduire la pollution.|le gouvernement a annonce de nouvelles mesures pour reduire la pollution|de nouvelles dispositions antipollution ont ete annoncees|le gouvernement a presente des mesures contre la pollution|des nouvelles mesures de lutte contre la pollution ont ete rendues publiques|le gouvernement a devoile son plan de reduction de la pollution
By the time she arrived at the station, the train had already left.|Au moment où elle est arrivée à la gare, le train était déjà parti.|au moment ou elle est arrivee a la gare le train etait deja parti|le train etait deja reparti quand elle a atteint la gare|elle est arrivee trop tard la gare etait deserte|son arrivee en gare a coincide avec le depart du dernier train|le train n'avait pas attendu son arrivee en gare
She would rather live in the countryside than in the city.|Elle préférerait vivre à la campagne plutôt qu'en ville.|elle prefererait vivre a la campagne plutot qu'en ville|la campagne l'attire plus que la ville|elle choisirait la campagne a la ville|entre ville et campagne son choix irait a la campagne|la ville n'est pas son milieu de vie ideal contrairement a la campagne
The scientist discovered a new species of insect in the rainforest.|Le scientifique a découvert une nouvelle espèce d'insecte dans la forêt tropicale.|le scientifique a decouvert une nouvelle espece d'insecte dans la foret tropicale|une nouvelle espece d'insecte a ete decouverte en foret tropicale|la foret tropicale a revele une espece inconnue d'insecte|le chercheur a identifie une espece d'insecte encore inconnue|c'est dans la foret tropicale que cet insecte inconnu a ete repere
It is important to eat a balanced diet and exercise regularly.|Il est important de manger équilibré et de faire régulièrement de l'exercice.|il est important de manger equilibre et de faire regulierement de l'exercice|une alimentation equilibree couplee a l'exercice regulier est essentielle|bien se nourrir et pratiquer un sport regulierement est fondamental|l'equilibre alimentaire et la pratique sportive reguliere sont indispensables|manger sainement et bouger souvent c'est la cle d'une bonne sante
